time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2020-06-01 10:30:00-04:00,sell,new,,CMG,stock,,0.0,,,market,1,
2020-06-01 10:30:00-04:00,buy,new,,BLDR,stock,,0.0,,,market,1,
2020-06-01 10:30:00-04:00,sell,new,,CDNS,stock,,0.0,,,market,1,
2020-06-01 10:30:00-04:00,buy,new,,BKR,stock,,0.0,,,market,1,
2020-06-01 10:30:00-04:00,buy,new,,ALB,stock,,0.0,,,market,1,
2020-06-01 10:30:00-04:00,buy,new,,CARR,stock,,0.0,,,market,1,
2020-06-01 10:30:00-04:00,buy,new,,APTV,stock,,0.0,,,market,1,
2020-06-01 10:30:00-04:00,buy,new,,AMP,stock,,0.0,,,market,1,
2020-06-01 10:30:00-04:00,sell,new,,ADSK,stock,,0.0,,,market,1,
2020-06-01 10:30:00-04:00,buy,new,,ALGN,stock,,0.0,,,market,1,
2020-06-01 10:30:00-04:00,sell,fill,89.0,AMZN,stock,,0.0,,123.3499984741211,market,1,0.0
2020-06-01 10:30:00-04:00,sell,fill,389.0,CAG,stock,,0.0,,27.2683317575747,market,1,0.0
2020-06-01 10:30:00-04:00,sell,fill,156.0,CNC,stock,,0.0,,65.61000061035156,market,1,0.0
2020-06-01 10:30:00-04:00,sell,fill,52.0,AMGN,stock,,0.0,,191.68878367049044,market,1,0.0
2020-06-01 10:30:00-04:00,sell,fill,125.0,ABT,stock,,0.0,,84.28622774694352,market,1,0.0
2020-06-01 10:30:00-04:00,sell,fill,204.0,AMD,stock,,0.0,,53.45000076293945,market,1,0.0
2020-06-01 10:30:00-04:00,sell,fill,175.0,BBY,stock,,0.0,,62.31097975084513,market,1,0.0
2020-06-01 10:30:00-04:00,sell,fill,98.0,BR,stock,,0.0,,112.47377014160156,market,1,0.0
2020-06-01 10:30:00-04:00,buy,fill,1096.0,APA,stock,,0.0,,10.402349771138336,market,1,0.0
2020-06-01 10:30:00-04:00,sell,fill,47.0,CMG,stock,,0.0,,21.0,market,1,0.0
2020-06-01 10:30:00-04:00,buy,fill,521.0,BLDR,stock,,0.0,,21.799999237060547,market,1,0.0
2020-06-01 10:30:00-04:00,sell,fill,12.0,CDNS,stock,,0.0,,91.5,market,1,0.0
2020-06-01 10:30:00-04:00,buy,fill,798.0,BKR,stock,,0.0,,14.096956279792709,market,1,0.0
2020-06-01 10:30:00-04:00,buy,fill,155.0,ALB,stock,,0.0,,73.21180074119708,market,1,0.0
2020-06-01 10:30:00-04:00,buy,fill,553.0,CARR,stock,,0.0,,20.1442566648775,market,1,0.0
2020-06-01 10:30:00-04:00,buy,fill,146.0,APTV,stock,,0.0,,77.83999633789062,market,1,0.0
2020-06-01 10:30:00-04:00,buy,fill,85.0,AMP,stock,,0.0,,133.46041622111193,market,1,0.0
2020-06-01 10:30:00-04:00,sell,fill,7.0,ADSK,stock,,0.0,,218.92999267578125,market,1,0.0
2020-06-01 10:30:00-04:00,buy,fill,44.0,ALGN,stock,,0.0,,253.08999633789065,market,1,0.0
2020-07-01 10:30:00-04:00,sell,new,,CMG,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,sell,new,,CDNS,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,sell,new,,BLDR,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,sell,new,,BKR,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,sell,new,,ALB,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,sell,new,,APTV,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,buy,new,,BA,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,buy,new,,AAPL,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,sell,new,,ADSK,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,buy,new,,ADBE,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,sell,new,,ALGN,stock,,0.0,,,market,1,
